year,0,1,2,3,4,5,6,7
2024,Alberta,Low Wage,Ethereal IT Solutions and Marketing Ltd.,"Edmonton, AB T6B 3G1",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,Fastrack Driving Academy Inc.,"Calgary, AB T3N 2B2",1414-Receptionists,Unknown,1,1
2024,Alberta,Low Wage,FINE EDGE WOODWORKING LTD.,"Edmonton, AB T6E 2W6",7611-Construction trades helpers and labourers,Unknown,1,1
2024,Alberta,Low Wage,GTC EDU & IMMIGRATION INC,"Calgary, AB T2G 2B1",1411-General office support workers,Unknown,1,1
2024,Alberta,Low Wage,Hailey’s Consulting Inc.,"Calgary, AB T3P 1R2",6322-Cooks,Unknown,1,1
2024,Alberta,Low Wage,HARTZ IMMIGRATION SERVICES INC,"Calgary, AB T3J 0X6",1241-Administrative assistants,Unknown,1,2
2024,Alberta,Low Wage,Hashir Enterprises Inc,"Edmonton, AB T5L 2Y1",7511-Transport truck drivers,Unknown,1,1
2024,Alberta,Low Wage,HCH HYDRAULICS LTD,"Edmonton, AB T5S 0G2",7445-Other repairers and servicers,Unknown,1,2
2024,Alberta,Low Wage,I DREAM OF MARKETING LTD.,"Edmonton, AB T6E 6A4",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,JHAQ ENGINEERING LTD,"calgary, AB T2E 8W7",2131-Civil engineers,Unknown,1,1
2024,Alberta,Low Wage,KAD Consulting Services Inc,"Calgary, AB T2Z 3R6",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,Kamal Raj 0005 Ltd,"Edmonton, AB T6R 3L6",6322-Cooks,Unknown,1,1
2024,Alberta,Low Wage,KANAAN INTERNATIONAL O/A YOGEN FRUZ,"CALGARY, AB T2H 0K9",6311-Food service supervisors,Unknown,1,1
2024,Alberta,Low Wage,Khatija Investment Ltd. o/a Hampton Inn & Suites,"Calgary, AB T2M 4L2",6525-Hotel front desk clerks,Unknown,1,2
2024,Alberta,Low Wage,Kinco-Yosilu Inc,"Edmonton, AB T5L 0M5",7535-Other automotive mechanical installers and servicers,Unknown,1,2
2024,Alberta,Low Wage,KOLACHI BBQ & GRILL LTD.,"Calgary, AB T3N 1Z2","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
2024,Alberta,Low Wage,Megacad Design & Builder Ltd.,"Calgary, AB T2B 3C4",7611-Construction trades helpers and labourers,Unknown,1,2
2024,Alberta,Low Wage,Mercury Hospitality Services Inc,"Calgary, AB T3E 0B3",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,Midwest Structural Ltd.,"Edmonton, AB T5L 2W4",9612-Labourers in metal fabrication,Unknown,1,2
2024,Alberta,Low Wage,MJ Therapeutic Massage Clinic & Spa,"EDMONTON, AB T5T 7K2",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,MODERN TOUCH ESTHETICS INC.,"High Level, AB T0H 1Z0","6562-Estheticians, electrologists and related occupations",Unknown,1,1
2024,Alberta,Low Wage,Mondo Pizza Ltd.,"Edmonton, AB T5J 0T4",6311-Food service supervisors,Unknown,1,1
2024,Alberta,Low Wage,Neutral Immigration Services Inc.,"Edmonton, AB T6E 3N8","1211-Supervisors, general office and administrative support workers",Unknown,1,1
2024,Alberta,Low Wage,Niranjan Gautam CPA professional corporation,"Calgary, AB T3P 0S2",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,Northern Mustang Services Ltd.,"Edmonton, AB T5X 1X6",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,Northern Mustang Services Ltd.,"Edmonton, AB T5X 1X6",7511-Transport truck drivers,Unknown,1,1
2024,Alberta,Low Wage,O& O Group Holding LTD.,"Edmonton, AB T6W 1A4",6731-Light duty cleaners,Unknown,1,2
2024,Alberta,Low Wage,O'Chiese Hospitality Ltd Partnership,"Red Deer, AB T4N 3X9","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
2024,Alberta,Low Wage,On time glass and blinds ltd.,"Edmonton, AB T6T 2M6",7441-Residential and commercial installers and servicers,Unknown,1,1
2024,Alberta,Low Wage,On time glass and blinds ltd.,"Edmonton, AB T6T 2M6",7611-Construction trades helpers and labourers,Unknown,1,2
2024,Alberta,Low Wage,PARMINDER TRUCKING LTD,"Calgary, AB T3J 4H2",6732-Specialized cleaners,Unknown,1,2
2024,Alberta,Low Wage,Path Seeker Immigration Consultancy Limited,"Edmonton, AB T6E 5P4",1414-Receptionists,Unknown,1,1
2024,Alberta,Low Wage,Pho Time Authentic Vietnamese Cuisine Ltd.,"CALGARY, AB T2Y 3H9","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
2024,Alberta,Low Wage,Plant Positivity with Rowe Inc,"Calgary, AB T2E 5V9",6211-Retail sales supervisors,Unknown,1,1
2024,Alberta,Low Wage,POME BAKERY INC.,"EDMONTON, AB T6R 3E7",6332-Bakers,Unknown,1,1
2024,Alberta,Low Wage,PRAJAPATI FOOD SERVICES INC.,"Canmore, AB T1W 1N5",6311-Food service supervisors,Unknown,1,1
2024,Alberta,Low Wage,Premyumm Enterprises (Griesbach) Ltd.,"Edmonton, AB T5E 6W1",6311-Food service supervisors,Unknown,1,1
2024,Alberta,Low Wage,QT SPA LTD.,"Airdrie, AB T4B 3G2","6562-Estheticians, electrologists and related occupations",Unknown,1,2
2024,Alberta,Low Wage,RAJEEV LOGISTICS INC.,"CALGARY, AB T3N 0B5",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,Redwagon Luxe Homes Ltd,"Calgary, AB T3R 0V6",6322-Cooks,Unknown,1,1
2024,Alberta,Low Wage,S K M INVESTMENTS LTD,"High Level, AB T0H 1Z0","6313-Accommodation, travel, tourism and related services supervisors",Unknown,1,1
2024,Alberta,Low Wage,Sajjad Raza Professional Corporation,"Calgary, AB T3H 3L2",1243-Medical administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,Scarpetta Italian Eatery Inc.,"Calgary, AB T1Y 0C8","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,4
2024,Alberta,Low Wage,SOHAL HOLDINGS LIMITED,"Calgary, AB T2Z 0N2","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
2024,Alberta,Low Wage,Soni Collections Inc,"calgary, AB T3J 3K9",6611-Cashiers,Unknown,1,1
2024,Alberta,Low Wage,Torque Home Developments LTD.,"Calgary, AB T3N 0S2",7611-Construction trades helpers and labourers,Unknown,1,3
2024,Alberta,Low Wage,TRANS-WORLD IMMIGRATION CONSULTANCY INC,"Calgary, AB T3N 1V9",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Low Wage,Ultra Filter Clean Inc.,"Grande Prairie, AB T8V 5S1",6732-Specialized cleaners,Unknown,1,1
2024,Alberta,Low Wage,Universal Integral Building Maintenance INC,"Edmonton, AB T5H 4R1",6731-Light duty cleaners,Unknown,1,3
2024,Alberta,Low Wage,Venom Energy Inc.,"Edmonton, AB T6T 1P9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
2024,Alberta,Low Wage,Waymark Environmental Abatement Inc.,"Calgary, AB T2P 0N3",7611-Construction trades helpers and labourers,Unknown,1,2
2024,Alberta,Low Wage,YEG TRANS-BORDER GROUP INC.,"Edmonton, AB T6P 1S4",1221-Administrative officers,Unknown,1,1
2024,Alberta,Permanent Resident Only,Kapoor Professional Corporation,"Edmonton, AB T6E 3N8",0114-Other administrative services managers,Unknown,1,1
2024,Alberta,Permanent Resident Only,Luxuria Auto South Ltd,"Calgary, AB T2C 5C5",1241-Administrative assistants,Unknown,1,1
2024,Alberta,Primary Agriculture,ROYAL GREENHOUSE LTD.,"Redcliff, AB T0J 2P0",8432-Nursery and greenhouse workers,Unknown,1,6
2024,British Columbia,Global Talent Stream,Digital Sarthi Software Solutions Ltd.,"Surrey, BC V3W 0E6",0213-Computer and information systems managers,Unknown,1,1
2024,British Columbia,Global Talent Stream,Digital Sarthi Software Solutions Ltd.,"Surrey, BC V3W 0E6",2174-Computer programmers and interactive media developers,Unknown,1,1
2024,British Columbia,Global Talent Stream,Esihome Technologies Inc.,"Richmond, BC V6X 2B1",2171-Information systems analysts and consultants,Unknown,1,1
2024,British Columbia,Global Talent Stream,Executive Compass Flight Institute Ltd.,"Pitt Meadows, BC V3Y 2B4",0213-Computer and information systems managers,Unknown,1,1
2024,British Columbia,Global Talent Stream,Oak Tree House Inc.,"Richmond, BC V6Y 1Z3",2173-Software engineers and designers,Unknown,1,1
2024,British Columbia,Global Talent Stream,VanHack Technologies Inc.,"Vancouver, BC V6B  1K",2174-Computer programmers and interactive media developers,Corporation,4,4
2024,British Columbia,Global Talent Stream,VanHack Technologies Inc.,"Vancouver, BC V6B  1K",2175-Web designers and developers,Corporation,11,13
2024,British Columbia,Global Talent Stream,Virtue Tech Inc,"Surrey, BC V3J 2V2",2147-Computer engineers (except software engineers and designers),Corporation,1,1
2024,British Columbia,High Wage,0591224 BC LTD.,"Vancouver, BC V6G 1C7",0114-Other administrative services managers,Unknown,1,1
2024,British Columbia,High Wage,090 Builders Group Inc,"Campbell River, BC V9W 1C6",2253-Drafting technologists and technicians,Unknown,1,2
2024,British Columbia,High Wage,0994391 BC LTD. DBA American Trucklines,"Surrey, BC V3S 5X7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
2024,British Columbia,High Wage,1008036 BC Ltd,"Surrey, BC V3W 2V6",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,1011082 BC LTD,"Surrey, BC V3S 0W4",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,1024846 BC Ltd,"Richmond, BC V7B 0B7","0124-Advertising, marketing and public relations managers",Unknown,1,1
2024,British Columbia,High Wage,1031125 B.C. LTD.,"Vancouver, BC V6B 1G8",1241-Administrative assistants,Unknown,1,2
2024,British Columbia,High Wage,1146884 B. C. Ltd.,"Surrey, BC V3R 1A2",7271-Carpenters,Unknown,1,1
2024,British Columbia,High Wage,1208387 BC LTD,"WESTBANK, BC V4T 1T8",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,1250597 B.C. LTD.,"Chilliwack, BC V2R 0P9",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,1284713 BC LTD,"ABBOTSFORD, BC V2T 5P1","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1,1
2024,British Columbia,High Wage,1284713 BC LTD,"ABBOTSFORD, BC V2T 5P1","7284-Plasterers, drywall installers and finishers and lathers",Unknown,1,1
2024,British Columbia,High Wage,1294539 B.C. LTD.,"Kamloops, BC V2C 3Z6",6731-Light duty cleaners,Unknown,1,2
2024,British Columbia,High Wage,1316619 B.C. Ltd,"Abbotsford, BC V2S 0H9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
2024,British Columbia,High Wage,1337674 BC Ltd,"SURREY, BC V3V 4B4",6311-Food service supervisors,Unknown,1,1
2024,British Columbia,High Wage,1361864 BC LTD,"Chilliwack, BC V2R 3N4",6316-Other services supervisors,Unknown,1,1
2024,British Columbia,High Wage,1363624 B.C. Ltd.,"Abbotsford, BC V2T 0H2",0621-Retail and wholesale trade managers,Unknown,1,1
2024,British Columbia,High Wage,1372677 B.C. LTD.,"Abbotsford, BC V2S 0C4",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,1380543 B.C. LTD,"Surrey, BC V3W 1S7",7251-Plumbers,Unknown,1,5
2024,British Columbia,High Wage,1380543 B.C. LTD,"Surrey, BC V3W 1S7",7271-Carpenters,Unknown,1,8
2024,British Columbia,High Wage,24K99 MEDIA INC.,"Richmond, BC V6X 2E3","0013-Senior managers - financial, communications and other business services",Unknown,1,1
2024,British Columbia,High Wage,4M Corporate Services Inc.,"Surrey, BC V3T 4Y2","0013-Senior managers - financial, communications and other business services",Unknown,1,1
2024,British Columbia,High Wage,5 SHR RESTORATIONS INC.,"VANCOUVER, BC V6G 1N3","1211-Supervisors, general office and administrative support workers",Unknown,1,1
2024,British Columbia,High Wage,777 Construction Ltd.,"Surrey, BC V3W 0X4","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1,1
2024,British Columbia,High Wage,82 Zenith Development Ltd.,"Surrey, BC V3R 3P2","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1,1
2024,British Columbia,High Wage,8479763 Canada Inc.,"Surrey, BC V3W 1P2",7511-Transport truck drivers,Unknown,1,1
2024,British Columbia,High Wage,A/J INTERNATIONAL SETTLEMENT GROUP LTD,"Victoria, BC V8V 3K3","0014-Senior managers - health, education, social and community services and membership organizations",Corporation,1,1
2024,British Columbia,High Wage,Abbotsford Veterinary Clinic and Hospital Ltd.,"Abbotsford, BC V2S 1W2",3114-Veterinarians,Unknown,1,3
2024,British Columbia,High Wage,Accurate Glass Ltd,"Coquitlam, BC V3K 7B2",0601-Corporate sales managers,Unknown,1,1
2024,British Columbia,High Wage,ACTRONICS TECHNOLOGY SOLUTION INC.,"Surrey, BC V3T 4Y2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
2024,British Columbia,High Wage,Aditya Twatia Personal Real Estate Corporation,"Richmond, BC V6V 2W3",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,Advance Pest Control,"Surrey, BC V3S 2C1",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,Advance Pest Control,"Surrey, BC V3S 2C1",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,All Canadian Network Solutions Inc.,"Richmond, BC V6X 2X9",6211-Retail sales supervisors,Unknown,1,1
2024,British Columbia,High Wage,All Rounder Construction Services Ltd.,"Chilliwack, BC V2P 7V9",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,All Rounder Construction Services Ltd.,"Chilliwack, BC V2P 7V9",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,Ansal Media Group Inc.,"Surrey, BC V3W 1R1",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,ANUSHA INVESTMENT LTD,"Burnaby, BC V5G 2E6",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,"Aupera Technologies, Inc.","Burnaby, BC V5J 5E6",0213-Computer and information systems managers,Unknown,1,1
2024,British Columbia,High Wage,Back2Fitness Inc.,"Surrey, BC V3T 1X2",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,Bauco Access Panel Solutions Inc.,"Esquimalt, BC V9A 4T4","9227-Supervisors, other products manufacturing and assembly",Unknown,1,1
2024,British Columbia,High Wage,Big Bird Services Ltd.,"Delta, BC, BC V4C 6E4",0114-Other administrative services managers,Unknown,1,1
2024,British Columbia,High Wage,Blue Nile Construction LTD.,"Surrey, BC V3R 2G3",7241-Electricians (except industrial and power system),Unknown,1,2
2024,British Columbia,High Wage,BLUE STAR FRAMING LTD.,"ABBOTSFORD, BC V2T 4P4",7271-Carpenters,Unknown,1,2
2024,British Columbia,High Wage,Boeing Property Labour Services Ltd.,"SURREY, BC V3S 7K3",7236-Ironworkers,Unknown,1,2
2024,British Columbia,High Wage,Brar Insulation Ltd.,"Surrey, BC V3W 2A4","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1,1
2024,British Columbia,High Wage,BRAR ONE FINISHING CARPENTRY LTD.,"SURREY, BC V3T 2Z9",7271-Carpenters,Unknown,1,2
2024,British Columbia,High Wage,Breathe Spa Inc.,"Vancouver, BC V6C 1V4",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,Butler at your service Inc.,"Burnaby, BC V5G 1H3","0124-Advertising, marketing and public relations managers",Unknown,1,1
2024,British Columbia,High Wage,CANADA LEADS MARKETING INC.,"SURREY, BC V3T 1K6",1222-Executive assistants,Unknown,1,2
2024,British Columbia,High Wage,Canada Road Carrier Ltd.,"Abbotsford, BC V2T 2X6",7312-Heavy-duty equipment mechanics,Unknown,1,2
2024,British Columbia,High Wage,"Canada Transense Technologies Co., Ltd","Richmond, BC V6X 2C2","0124-Advertising, marketing and public relations managers",Unknown,1,1
2024,British Columbia,High Wage,Centura immigration Service Inc.,"Surrey, BC V3W 1E6",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,COMFORT MAPLE AGING INNOVATIONS INC.,"Mission, BC V4S 1C5",0111-Financial managers,Unknown,1,1
2024,British Columbia,High Wage,CP PAINTING LTD.,"Surrey, BC V4A 9E9",1221-Administrative officers,Unknown,1,2
2024,British Columbia,High Wage,CROWN-RIDERS AUTOMOTIVE LTD.,"DELTA, BC V4C 2S3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
2024,British Columbia,High Wage,Crystal Kitchens Ltd.,"Surrey, BC V3W 2V6",7611-Construction trades helpers and labourers,Unknown,1,4
2024,British Columbia,High Wage,D.Garcha Trucking Ltd,"Surrey, BC V3S 0Y9",7511-Transport truck drivers,Unknown,1,8
2024,British Columbia,High Wage,Diligence Education Centre Inc,"Coquitlam, BC V3B 2P5",0422-School principals and administrators of elementary and secondary education,Corporation,1,1
2024,British Columbia,High Wage,Dishpal Restaurant Services Corp.,"Surrey, BC V3X 0H6","0124-Advertising, marketing and public relations managers",Unknown,1,1
2024,British Columbia,High Wage,Docsons Security Inc.,"Surrey, BC V3W 1N6","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
2024,British Columbia,High Wage,Ecotech Restoration Inc,"Maple Ridge, BC V4R 0E2",4163-Business development officers and marketing researchers and consultants,Unknown,1,1
2024,British Columbia,High Wage,EVA DOSA HOUSE INC.,"Vancouver, BC V6E 1N4",0631-Restaurant and food service managers,Unknown,1,2
2024,British Columbia,High Wage,Evercore Exterior Ltd.,"Port Moody, BC V3H 0C5",7271-Carpenters,Unknown,1,3
2024,British Columbia,High Wage,FlashOrder Network Ltd.,"Burnaby, BC V5H 4N2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
2024,British Columbia,High Wage,Focus Worldwide Logistics Services Co. Ltd.,"Burnaby, BC V5J 3J1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
2024,British Columbia,High Wage,Freightberg Logistics Ltd,"Abbotsford, BC V2T 3R5",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,Fresh Coat Painting Ltd.,"Surrey, BC V3S 1B4",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,FSJ Mattress World Ltd.,"Fort St John, BC V1J 1W7",0621-Retail and wholesale trade managers,Unknown,1,1
2024,British Columbia,High Wage,FULL THROTTLE HOBBIES INC.,"Burnaby, BC V5J 4V5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
2024,British Columbia,High Wage,GADGET WORLD LTD.,"VANCOUVER, BC V6A 2T4",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,Galactic Transport Logistics Limited,"Surrey, BC V3W 3X6",0731-Managers in transportation,Unknown,1,1
2024,British Columbia,High Wage,GILLTRUX ENTERPRISES LTD.,"Surrey, BC V3W 1N7",7511-Transport truck drivers,Unknown,1,1
2024,British Columbia,High Wage,Good Luck Siding & Roofing Ltd.,"Surrey, BC V3S 6Z6",7271-Carpenters,Unknown,1,1
2024,British Columbia,High Wage,GORKHALI CONSTRUCTION INC.,"Surrey, BC V3W 5J8",7241-Electricians (except industrial and power system),Unknown,1,1
2024,British Columbia,High Wage,GREAT CANADA CONSTRUCTION LTD.,"DELTA, BC V4C 7T8",7294-Painters and decorators (except interior decorators),Unknown,1,5
2024,British Columbia,High Wage,Greenleaf Project Management Ltd.,"Surrey, BC V3S 0B3",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,H & W Chinese Restaurant Ltd.,"Coquitlam, BC V3B 6S2",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,Haani Records Ltd,"Abbotsford, BC V2T 5E9",5241-Graphic designers and illustrators,Unknown,1,1
2024,British Columbia,High Wage,Higgs Software Services Inc.,"Vancouver, BC V5X 4V2",0213-Computer and information systems managers,Unknown,1,1
2024,British Columbia,High Wage,Indo Canadian Consulting Ltd.,"Surrey, BC V3W 0E6",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,INTELLITECH COMMUNICATIONS LTD,"SURREY, BC V3V 6R6",2242-Electronic service technicians (household and business equipment),Unknown,1,2
2024,British Columbia,High Wage,J8 Plumbing & Heating Inc.,"Richmond, BC V6V 1Y3","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
2024,British Columbia,High Wage,JAGGI BAGGI CLOTH HOUSE LTD,"Delta, BC V4C 6R8",6411-Sales and account representatives - wholesale trade (non-technical),Unknown,1,1
2024,British Columbia,High Wage,JD Landscaping ltd,"Surrey, BC V3X 1X9","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Unknown,1,1
2024,British Columbia,High Wage,KSS Finishing & Woodworking Ltd.,"Surrey, BC V3W 6T7",0711-Construction managers,Unknown,1,1
2024,British Columbia,High Wage,KSS Finishing & Woodworking Ltd.,"Surrey, BC V3W 6T7",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,KSS Finishing & Woodworking Ltd.,"Surrey, BC V3W 6T7",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,KSS Finishing & Woodworking Ltd.,"Surrey, BC V3W 6T7",6315-Cleaning supervisors,Unknown,1,2
2024,British Columbia,High Wage,KSS Finishing & Woodworking Ltd.,"Surrey, BC V3W 6T7",7237-Welders and related machine operators,Unknown,1,5
2024,British Columbia,High Wage,Leading Edge Events Inc.,"Vancouver, BC V6C 3E2",0125-Other business services managers,Unknown,1,1
2024,British Columbia,High Wage,MALKHAN TRANSPORT INC.,"Surrey, BC V3W 1E6",7511-Transport truck drivers,Unknown,1,5
2024,British Columbia,High Wage,Maple World Immigration Services,"Vancouver, BC V6C 2T8","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
2024,British Columbia,High Wage,Mayan Workforce Ltd,"New Westminster, BC V3L 0J9",6315-Cleaning supervisors,Unknown,1,1
2024,British Columbia,High Wage,Means of Production Inc,"Vancouver, BC V5L 3X3","5131-Producers, directors, choreographers and related occupations",Unknown,3,3
2024,British Columbia,High Wage,Millennium Pacific Greenhouses Partnership,"Delta, BC V4K 3N2",0601-Corporate sales managers,Unknown,1,1
2024,British Columbia,High Wage,MINDMAP SOLUTIONS CORPORATION,"North Vancouver, BC V7M 1B3",0213-Computer and information systems managers,Unknown,1,1
2024,British Columbia,High Wage,Motor Vehicle Image Consulting Corp,"Port Moody, BC V3H 4B6",6315-Cleaning supervisors,Unknown,1,1
2024,British Columbia,High Wage,Mountain View Christian Academy Society,"Terrace, BC V8G 0C6",4031-Secondary school teachers,Unknown,1,1
2024,British Columbia,High Wage,Mountain View Christian Academy Society,"Terrace, BC V8G 0C6",4032-Elementary school and kindergarten teachers,Unknown,1,2
2024,British Columbia,High Wage,MS Batth Trucking Ltd.,"Langley, BC V3W 2X3",7511-Transport truck drivers,Unknown,1,3
2024,British Columbia,High Wage,Norden Windows And Doors Ltd.,"Delta, BC V3M 5R5","0124-Advertising, marketing and public relations managers",Unknown,1,1
2024,British Columbia,High Wage,Norden Windows And Doors Ltd.,"Delta, BC V3M 5R5",0601-Corporate sales managers,Unknown,1,1
2024,British Columbia,High Wage,Norden Windows And Doors Ltd.,"Delta, BC V3M 5R5",0911-Manufacturing managers,Unknown,1,1
2024,British Columbia,High Wage,Norden Windows And Doors Ltd.,"Delta, BC V3M 5R5",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,Norden Windows And Doors Ltd.,"Delta, BC V3M 5R5",1523-Production logistics co-ordinators,Unknown,1,1
2024,British Columbia,High Wage,Norden Windows And Doors Ltd.,"Delta, BC V3M 5R5",7237-Welders and related machine operators,Unknown,1,1
2024,British Columbia,High Wage,OLYMPIC Control Inc.,"North Vancouver, BC V7J 2E9",2243-Industrial instrument technicians and mechanics,Unknown,1,1
2024,British Columbia,High Wage,Oriental Yoga and Wellness Centre Inc.,"North Vancouver, BC V7M 3K1","0513-Recreation, sports and fitness program and service directors",Unknown,1,1
2024,British Columbia,High Wage,Oziss Industries Inc.,"Surrey, BC V3W 4G1",0621-Retail and wholesale trade managers,Unknown,1,1
2024,British Columbia,High Wage,PACIFIC VALLEY ENTERPRISES INC.,"SURREY, BC V3V 1R2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
2024,British Columbia,High Wage,Packer Staffing Solutions Ltd.,"Surrey, BC V3W 2V7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,10
2024,British Columbia,High Wage,Pilgrim Bros. Ventures Ltd.,"Wonowon, BC V0C 2N0",1432-Payroll clerks,Unknown,1,1
2024,British Columbia,High Wage,Poco Laser & Beauty Lounge Ltd,"Port Coquitlam, BC V3C 3H1",1221-Administrative officers,Unknown,2,2
2024,British Columbia,High Wage,Prime B Custom Homes Ltd,"Surrey, BC V3W 1R1",1222-Executive assistants,Unknown,1,1
2024,British Columbia,High Wage,Puri Carpet & flooring Ltd,"Surrey, BC V3W 3B2",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,Quantasphere Business Solutions Inc.,"Burnaby, BC V5J 3J1",2173-Software engineers and designers,Unknown,1,1
2024,British Columbia,High Wage,R&M Mechanical ltd.,"Burnaby, BC V5C 3W4",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,RIGHT TURN TRUCKING LTD.,"Delta, BC V4C 2H1",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,Robba da Matti Restaurant Gastown Inc.,"Vancouver, BC V6A 1E7",0631-Restaurant and food service managers,Unknown,1,1
2024,British Columbia,High Wage,Russet Enterprises Ltd.,"Vernon, BC V1H 2H7",7511-Transport truck drivers,Unknown,1,5
2024,British Columbia,High Wage,SAHAJ IMMIGRATION CONSULTANCY LTD.,"Surrey, BC V3V 5P2",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,SANDHU FAMILY HOLDINGS LTD,"Surrey, BC V3R 2T9",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,Sarabha Enterprises LTD,"Chilliwack, BC V2R 4S8",7511-Transport truck drivers,Unknown,1,2
2024,British Columbia,High Wage,SARABHA TRANSPORT LTD,"Langley, BC V2Y 0W9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
2024,British Columbia,High Wage,Sarli Transport Ltd.,"Surrey, BC V3S 5J8",7511-Transport truck drivers,Unknown,1,2
2024,British Columbia,High Wage,SEKHON & SONS NURSERY INC.,"Pitt Meadows, BC V3Y 2T9",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,Sidhu Concrete Pumping Ltd,"Richmond, BC V6Y 1R7",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,SILVER MOUNT ENTERPRISES LTD,"Valemount, BC V0E 2Z0",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,SILVER MOUNT ENTERPRISES LTD,"Valemount, BC V0E 2Z0",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,British Columbia,High Wage,SKYLON FREIGHT INC.,"SURREY, BC V3T 3J5",1221-Administrative officers,Unknown,1,1
2024,British Columbia,High Wage,SPOTLESS CAR WASH INN LTD,"SURREY, BC V3S 1C4",1241-Administrative assistants,Unknown,1,1
2024,British Columbia,High Wage,Star Painting Ltd.,"Surrey, BC V3W 2C9",7611-Construction trades helpers and labourers,Unknown,1,5
